p_Name,shop_name,ProductID,price,PreferentialPrice,CommentCount,GoodRateShow,GoodCount,GeneralCount,PoorCount,keyword,type,brand,X_type,X_name,capacitysource
日立（Hitachi）空调5匹立柜式空调柜机商用空调RAP/C3-B120DH,日立华克斯专卖店,17243936638,14398.00,12398.00,1,100,1,0,0,,日立（HITACHI） 日立（Hitachi）空调5匹立柜式空调柜机商用空调RAP/C3-B120DH  17243936638 日立华克斯专卖店 180.0kg 中国大陆 01002337 定频 高能效空调 冷暖空调 5匹及以上 40㎡以上 立柜式空调,日立,定频,日立（Hitachi）空调5匹立柜式空调柜机商用空调RAP/C3-B120DH,
日立(Hitachi) 大2匹 立柜式冷暖变频空调 RAP/C-L53GVXB 客厅柜机 香槟金,日立空调旗舰店,11025729532,15000.00,12699.00,1,100,1,0,0,,日立（HITACHI） 日立(Hitachi) 大2匹 立柜式冷暖变频空调 RAP/C-L53GVXB 客厅柜机 香槟金 11025729532 日立空调旗舰店 112.0kg 中国大陆 RAP/C-L53GVXB 变频 冷暖空调 0元安装，高能效空调，变频空调，静音空调，合资空调，全直流变频，自动清洁 金色 2匹 一级能效 30-40㎡ 立柜式空调,日立,变频,日立(Hitachi) 大2匹 立柜式冷暖变频空调 RAP/C-L53GVXB 客厅柜机 香槟金,
日立（Hitachi）空调3匹空调柜机变频一级能效RAP/C-L72GVX 进口涡旋式压机,日立华克斯专卖店,10711821812,16909.00,14699.00,4,100,4,0,0,送货快,日立（HITACHI） 日立（Hitachi）空调3匹空调柜机变频一级能效RAP/C-L72GVX 进口涡旋式压机 10711821812 日立华克斯专卖店 54.0kg 中国大陆 0100205b 变频 冷暖空调 高能效空调，变频空调，静音空调，合资空调，全直流变频，自动清洁 其他 3匹 一级能效 30-40㎡ 立柜式空调,日立,变频,日立（Hitachi）空调3匹空调柜机变频一级能效RAP/C-L72GVX 进口涡旋式压机,
日立（HITACHI） 正3匹 立柜式节能冷暖全直流变频空调RAP/C-L72KVYB 雅棕,日立空调旗舰店,10662752981,14999.00,11099.00,5,100,5,0,0,空调质量好 制冷效果好 服务很好 制冷速度快,日立（HITACHI） 日立（HITACHI） 正3匹 立柜式节能冷暖全直流变频空调RAP/C-L72KVYB 雅棕 10662752981 日立空调旗舰店 116.0kg 中国大陆 RAP/C-L72KVYB 变频 冷暖空调 高能效空调，变频空调，静音空调，合资空调，全直流变频，自动清洁 其他 3匹 二级能效 40㎡以上 立柜式空调,日立,变频,日立（HITACHI） 正3匹 立柜式节能冷暖全直流变频空调RAP/C-L72KVYB 雅棕,
日立(Hitachi)正3匹立柜式冷暖定速空调 不锈钢喷涂滤网RAP/C-L72GHYDB 雅棕,日立空调旗舰店,10662689867,12999.00,9499.00,2,100,2,0,0,,日立（HITACHI） 日立(Hitachi)正3匹立柜式冷暖定速空调 不锈钢喷涂滤网RAP/C-L72GHYDB 雅棕 10662689867 日立空调旗舰店 127.0kg 中国大陆 RAS/C-L72GHYDB 定频 冷暖空调 0元安装，静音空调，合资空调，自动清洁 其他 3匹 三级能效 30-40㎡ 立柜式空调,日立,定频,日立(Hitachi)正3匹立柜式冷暖定速空调 不锈钢喷涂滤网RAP/C-L72GHYDB 雅棕,
日立（Hitachi）空调3匹空调柜机变频一级RAP/C-L72GVXB进口涡旋式压缩机,日立华克斯专卖店,10711850449,16909.00,14699.00,4,100,4,0,0,,日立（HITACHI） 日立（Hitachi）空调3匹空调柜机变频一级RAP/C-L72GVXB进口涡旋式压缩机 10711850449 日立华克斯专卖店 54.0kg 中国大陆 0100206c 变频 冷暖空调 变频空调 其他 3匹 一级能效 30-40㎡ 立柜式空调,日立,变频,日立（Hitachi）空调3匹空调柜机变频一级RAP/C-L72GVXB进口涡旋式压缩机,
日立（HITACHI） 大2匹立柜式冷暖变频空调柜机PAM技术RAP/C-L53KVYB 雅棕,日立帅特隆专卖店,10104942234,12999.00,9299.00,20,100,20,0,0,声音小 安装速度 制冷比较快 空调质量好 制冷制热快 制冷效果好 机器漂亮,日立（HITACHI） 日立（HITACHI） 大2匹立柜式冷暖变频空调柜机PAM技术RAP/C-L53KVYB 雅棕 10104942234 日立帅特隆专卖店 112.0kg RAP/C-L53KVYB 变频 冷暖空调 高能效空调，变频空调，静音空调，合资空调，全直流变频，自动清洁 其他 2匹 二级能效 20-30㎡ 立柜式空调,日立,变频,日立（HITACHI） 大2匹立柜式冷暖变频空调柜机PAM技术RAP/C-L53KVYB 雅棕,
日立(Hitachi) 正3匹 立柜式冷暖变频空调 RAP/C-L72GVX 客厅卧室柜机 B 香槟金,日立空调旗舰店,11025747068,18000.00,14699.00,0,100,0,0,0,,日立（HITACHI） 日立(Hitachi) 正3匹 立柜式冷暖变频空调 RAP/C-L72GVX 客厅卧室柜机 B 香槟金 11025747068 日立空调旗舰店 116.0kg 中国大陆 RAP/C-L72GVXB 变频 冷暖空调 0元安装，高能效空调，变频空调，静音空调，合资空调，全直流变频 金色 3匹 一级能效 40㎡以上 立柜式空调,日立,变频,日立(Hitachi) 正3匹 立柜式冷暖变频空调 RAP/C-L72GVX 客厅卧室柜机 B 香槟金,
日立（HITACHI） 大2匹立柜式冷暖变频空调柜机涡旋压缩机RAP/C-L53GVXB 香槟金,日立帅特隆专卖店,11422014207,16899.00,12699.00,1,100,1,0,0,,日立（HITACHI） 日立（HITACHI） 大2匹立柜式冷暖变频空调柜机涡旋压缩机RAP/C-L53GVXB 香槟金 11422014207 日立帅特隆专卖店 116.0kg RAP/C-L53GVXB 变频 冷暖空调 高能效空调，智能空调，变频空调，静音空调，合资空调，全直流变频，自动清洁 金色 2匹 一级能效 30-40㎡ 立柜式空调,日立,变频,日立（HITACHI） 大2匹立柜式冷暖变频空调柜机涡旋压缩机RAP/C-L53GVXB 香槟金,
日立（Hitachi）空调3匹立柜式空调柜机变频RAP/C-L72KVYB,日立华克斯专卖店,10711756731,12909.00,11099.00,7,100,7,0,0,变频省电 空调质量好 制冷比较快 声音小 机器漂亮 制冷速度快,日立（HITACHI） 日立（Hitachi）空调3匹立柜式空调柜机变频RAP/C-L72KVYB 10711756731 日立华克斯专卖店 53.0kg 中国大陆 0100205a 变频 冷暖空调 高能效空调，变频空调，静音空调，合资空调，全直流变频，自动清洁 其他 3匹 二级能效 30-40㎡ 立柜式空调,日立,变频,日立（Hitachi）空调3匹立柜式空调柜机变频RAP/C-L72KVYB,
日立（Hitachi）空调3匹立柜式空调柜机 RAP/C-L72GHYDB,日立华克斯专卖店,10711990924,11009.00,9499.00,3,100,3,0,0,空调质量好 机器漂亮 制冷速度快 外机噪音小 安装速度 制热效果好,日立（HITACHI） 日立（Hitachi）空调3匹立柜式空调柜机 RAP/C-L72GHYDB 10711990924 日立华克斯专卖店 127.0kg 中国大陆 0100203A 定频 冷暖空调 自动清洁 其他 3匹 三级能效 30-40㎡ 立柜式空调,日立,定频,日立（Hitachi）空调3匹立柜式空调柜机 RAP/C-L72GHYDB,
日立（HITACHI）空调3匹立柜式空调柜机变频 RAP/C-L72GVYB2,日立华克斯专卖店,13140607788,12909.00,11099.00,2,100,2,0,0,,日立（HITACHI） 日立（HITACHI）空调3匹立柜式空调柜机变频 RAP/C-L72GVYB2 13140607788 日立华克斯专卖店 53.0kg 中国大陆 0100208C 变频 冷暖空调 高能效空调，变频空调，静音空调，合资空调，全直流变频，自动清洁 其他 3匹 二级能效 30-40㎡ 立柜式空调,日立,变频,日立（HITACHI）空调3匹立柜式空调柜机变频 RAP/C-L72GVYB2,
日立（HITACHI） 3匹立柜式冷暖变频空调柜机进口涡旋压缩机RAP/C-L72GVX 珍珠银,日立帅特隆专卖店,11422133346,16899.00,14699.00,2,100,2,0,0,,日立（HITACHI） 日立（HITACHI） 3匹立柜式冷暖变频空调柜机进口涡旋压缩机RAP/C-L72GVX 珍珠银 11422133346 日立帅特隆专卖店 116.0kg 中国大陆 RAP/C-L72GVX/B 变频 冷暖空调 高能效空调，变频空调，静音空调，合资空调，全直流变频，自动清洁 其他 3匹 一级能效 40㎡以上 立柜式空调,日立,变频,日立（HITACHI） 3匹立柜式冷暖变频空调柜机进口涡旋压缩机RAP/C-L72GVX 珍珠银,
樱花（CHEBLO）2匹柜机 3匹柜式机 静音家用 定频冷暖空调（纯铜管） 不包安装 3匹冷暖柜机 KFRd-72LW/YHDR,cheblo空调旗舰店,17805040846,7998.00,3799.00,3,100,3,0,0,,CHEBLO 樱花（CHEBLO）2匹柜机 3匹柜式机 静音家用 定频冷暖空调（纯铜管） 不包安装 3匹冷暖柜机 KFRd-72LW/YHDR 17805040846 cheblo空调旗舰店 40.0kg KFRd-72LW/YHDR 定频 冷暖空调 静音空调 白色 3匹 三级能效 30-40㎡ 立柜式空调,樱花,定频,樱花（CHEBLO）2匹柜机 3匹柜式机 静音家用 定频冷暖空调（纯铜管） 不包安装 3匹冷暖柜机 KFRd-72LW/YHDR,
富士通（Fujitsu） 富士通 正3匹 全直流变频冷暖空调柜机AGQG25LTCC-N 3匹,富士通空调旗舰店,12422236841,15900.00,15800.00,5,100,5,0,0,,富士通（Fujitsu） 富士通（Fujitsu） 富士通 正3匹 全直流变频冷暖空调柜机AGQG25LTCC-N 3匹 12422236841 富士通空调旗舰店 88.5kg 变频 冷暖空调 金色 3匹 一级能效 30-40㎡ 立柜式空调,富士通,变频,富士通（Fujitsu） 富士通 正3匹 全直流变频冷暖空调柜机AGQG25LTCC-N 3匹,
方米(FZM) 3匹冷暖圆柱 圆筒 圆形柜机立式家用空调 静音分体空调（纯铜管）尊享款 KFRd-72LW/GB3FM1Q,FZM旗舰店,15230214794,5999.00,4789.00,0,100,0,0,0,,FZM 方米(FZM) 3匹冷暖圆柱 圆筒 圆形柜机立式家用空调 静音分体空调（纯铜管）尊享款 KFRd-72LW/GB3FM1Q 15230214794 FZM旗舰店 85.0kg 中国大陆 定频 圆柱式空调 金色 冷暖空调 三级能效 30-40㎡ 立柜式空调,方米,定频,方米(FZM) 3匹冷暖圆柱 圆筒 圆形柜机立式家用空调 静音分体空调（纯铜管）尊享款 KFRd-72LW/GB3FM1Q,
方米(FZM)空调 2匹/大3匹冷暖立式柜机体式定频客厅空调静音省电（纯铜管） 尊享款 2匹冷暖KFRd-51LW/GB3FM1,FZM旗舰店,14821765302,4999.00,3298.00,0,100,0,0,0,,FZM 方米(FZM)空调 2匹/大3匹冷暖立式柜机体式定频客厅空调静音省电（纯铜管） 尊享款 2匹冷暖KFRd-51LW/GB3FM1 14821765302 FZM旗舰店 102.0kg 定频 自动清洁 白色 冷暖空调 三级能效 30-40㎡ 立柜式空调,方米,定频,方米(FZM)空调 2匹/大3匹冷暖立式柜机体式定频客厅空调静音省电（纯铜管） 尊享款 2匹冷暖KFRd-51LW/GB3FM1,
扬子（YAIR） 小两匹 冷暖 自动清洗 定频空调柜机KFRd-46LW/54DF1-E3,YAIR扬子必威专卖店,18656142088,2799.00,2799.00,0,100,0,0,0,,YAIR 扬子（YAIR） 小两匹 冷暖 自动清洗 定频空调柜机KFRd-46LW/54DF1-E3 18656142088 YAIR扬子必威专卖店 31.0kg 定频 冷暖空调 静音空调，自动清洁 白色 2匹 三级能效 20-30㎡ 立柜式空调,扬子,定频,扬子（YAIR） 小两匹 冷暖 自动清洗 定频空调柜机KFRd-46LW/54DF1-E3,
康佳（KONKA）KFR-51LW/DYGT2-E3 冷暖定速2匹圆柱柜机（全铜管）,康佳空调旗舰店,12136344444,4499.00,4099.00,200,93,200,5,10,一般 安装速度 机器漂亮,康佳（KONKA） 康佳（KONKA）KFR-51LW/DYGT2-E3 冷暖定速2匹圆柱柜机（全铜管） 12136344444 康佳空调旗舰店 33.0kg 中国大陆 定频 圆柱式空调 白色 冷暖空调 三级能效 20-30㎡ 立柜式空调,康佳,定频,康佳（KONKA）KFR-51LW/DYGT2-E3 冷暖定速2匹圆柱柜机（全铜管）,
统帅（Leader） 3匹 一级能效 变频冷暖 WIFI智能 一键HOME 圆柱空调柜机 KFR-72LW/03ECC21ATU1,统帅官方旗舰店,5434705,7999.00,7599.00,30,97,30,0,1,,统帅（Leader） 统帅KFR-72LW/03ECC21ATU1 5434705 48.0kg 中国大陆 变频 圆柱式空调，高能效空调，智能空调，变频空调，静音空调，自动清洁 冷暖空调 3匹 一级能效 40㎡以上 立柜式空调,统帅,变频,统帅KFR-72LW/03ECC21ATU1,
长虹（CHANGHONG）立柜式 圆柱形 智能变频空调启客 3匹  KFR-72LW/Q1L,长虹四川英发专卖店,12719814731,8790.00,8790.00,0,100,0,0,0,,长虹（CHANGHONG） 长虹（CHANGHONG）立柜式 圆柱形 智能变频空调启客 3匹  KFR-72LW/Q1L 12719814731 长虹四川英发专卖店 54.0kg 中国大陆 变频 冷暖空调 智能空调 白色 2匹 一级能效 20-30㎡ 立柜式空调,长虹,变频,长虹（CHANGHONG）立柜式 圆柱形 智能变频空调启客 3匹  KFR-72LW/Q1L,
长虹（CHANGHONG） 立柜式   大风量   节能变频空调 2匹KFR-50LW/ZDHIK(W1-H)+A2,长虹四川英发专卖店,12942977037,5999.00,4890.00,0,100,0,0,0,,长虹（CHANGHONG） 长虹（CHANGHONG） 立柜式   大风量   节能变频空调 2匹KFR-50LW/ZDHIK(W1-H)+A2 12942977037 长虹四川英发专卖店 38.0kg 中国大陆 变频 冷暖空调 智能空调 白色 2匹 二级能效 40㎡以上 立柜式空调,长虹,变频,长虹（CHANGHONG） 立柜式   大风量   节能变频空调 2匹KFR-50LW/ZDHIK(W1-H)+A2,
长虹（CHANGHONG） 正2匹 一级能效 变频冷暖 智能静音立柜式空调 IZ系列 KFR-51LW/ZDKIZ(W1-H)+A1,长虹同望专卖店,18030130932,5990.00,5590.00,0,100,0,0,0,,长虹（CHANGHONG） 长虹（CHANGHONG） 正2匹 一级能效 变频冷暖 智能静音立柜式空调 IZ系列 KFR-51LW/ZDKIZ(W1-H)+A1 18030130932 长虹同望专卖店 32.0kg 变频 圆柱式空调，高能效空调，智能空调，变频空调，静音空调，全直流变频 冷暖空调 2匹 一级能效 20-30㎡ 立柜式空调,长虹,变频,长虹（CHANGHONG） 正2匹 一级能效 变频冷暖 智能静音立柜式空调 IZ系列 KFR-51LW/ZDKIZ(W1-H)+A1,
长虹（CHANGHONG） 冷暖变频一级能效 智能语音启客空调 圆柱 金色 Q2F系列 正3匹KFR-72LW/Q2F,长虹同望专卖店,17882012416,9890.00,9890.00,0,100,0,0,0,,长虹（CHANGHONG） 长虹（CHANGHONG） 冷暖变频一级能效 智能语音启客空调 圆柱 金色 Q2F系列 正3匹KFR-72LW/Q2F 17882012416 长虹同望专卖店 47.0kg 变频 冷暖空调 圆柱式空调，高能效空调，智能空调，变频空调，静音空调，全直流变频，自动清洁 金色 2匹 一级能效 20-30㎡ 立柜式空调,长虹,变频,长虹（CHANGHONG） 冷暖变频一级能效 智能语音启客空调 圆柱 金色 Q2F系列 正3匹KFR-72LW/Q2F,
长虹（CHANGHONG）智能语音启客空调  一级能效 圆柱形 小蛮腰 金色 3匹 KFR-72LW/Q2F,长虹四川英发专卖店,12720705982,9890.00,9890.00,0,100,0,0,0,,长虹（CHANGHONG） 长虹（CHANGHONG）智能语音启客空调  一级能效 圆柱形 小蛮腰 金色 3匹 KFR-72LW/Q2F 12720705982 长虹四川英发专卖店 47.0kg 中国大陆 变频 冷暖空调 智能空调 金色 2匹 一级能效 20-30㎡ 立柜式空调,长虹,变频,长虹（CHANGHONG）智能语音启客空调  一级能效 圆柱形 小蛮腰 金色 3匹 KFR-72LW/Q2F,
长虹（CHANGHONG）智能 变频圆柱形 高端启客艺术空调 3匹 KFR-72LW/Q1N,长虹四川英发专卖店,12721141636,7990.00,7990.00,0,100,0,0,0,,长虹（CHANGHONG） 长虹（CHANGHONG）智能 变频圆柱形 高端启客艺术空调 3匹 KFR-72LW/Q1N 12721141636 长虹四川英发专卖店 45.0kg 中国大陆 变频 冷暖空调 智能空调 金色 2匹 一级能效 20-30㎡ 立柜式空调,长虹,变频,长虹（CHANGHONG）智能 变频圆柱形 高端启客艺术空调 3匹 KFR-72LW/Q1N,
长虹（CHANGHONG） 3匹变频空调KFR-72LW/ZDHIK(W1-H)+A2,长虹空调旗舰店,10803458832,6090.00,5990.00,60,97,60,0,2,安装速度 机器漂亮 声音小 制冷速度快 服务很好 外机噪音小 制冷制热快 送货快 制热效果好 变频省电,长虹（CHANGHONG） 长虹（CHANGHONG）KFR-72LW/ZDHIK 10803458832 长虹空调旗舰店 48.0kg 变频 冷暖空调 高能效空调，变频空调，静音空调，全直流变频，自动清洁 白色 3匹 二级能效 30-40㎡ 立柜式空调,长虹,变频,长虹（CHANGHONG）KFR-72LW/ZDHIK,
长虹（CHANGHONG）节能变频空调立柜式圆柱Q2F 2匹KFR-51LW/Q2F,长虹重庆龙泉专卖店,12897860644,9990.00,8790.00,0,100,0,0,0,,长虹（CHANGHONG） 长虹（CHANGHONG）节能变频空调立柜式圆柱Q2F 2匹KFR-51LW/Q2F 12897860644 长虹重庆龙泉专卖店 36.0kg 变频 冷暖空调 金色 2匹 一级能效 20-30㎡ 立柜式空调,长虹,变频,长虹（CHANGHONG）节能变频空调立柜式圆柱Q2F 2匹KFR-51LW/Q2F,
长虹（CHANGHONG） 启客立柜式  圆柱变频 智能互联静音空调 白色 3匹KFR-72LW/Q2L,长虹空调旗舰店,13329932260,9999.00,8790.00,2,100,2,0,0,,长虹（CHANGHONG） 长虹（CHANGHONG） 启客立柜式  圆柱变频 智能互联静音空调 白色 3匹KFR-72LW/Q2L 13329932260 长虹空调旗舰店 54.0kg 变频 冷暖空调 圆柱式空调，高能效空调，智能空调，变频空调，静音空调，全直流变频，自动清洁 白色 2匹 一级能效 20-30㎡ 立柜式空调,长虹,变频,长虹（CHANGHONG） 启客立柜式  圆柱变频 智能互联静音空调 白色 3匹KFR-72LW/Q2L,
长虹（CHANGHONG） 3匹P圆柱柜式变频冷暖空调智能静音KFR-72LW/Q1N,长虹空调旗舰店,10803159599,8090.00,7990.00,10,100,10,0,0,服务很好 空调质量好,长虹（CHANGHONG） 长虹（CHANGHONG） 3匹P圆柱柜式变频冷暖空调智能静音KFR-72LW/Q1N 10803159599 长虹空调旗舰店 45.0kg 变频 冷暖空调 圆柱式空调，高能效空调，智能空调，变频空调，静音空调，全直流变频，自动清洁 金色 3匹 二级能效 30-40㎡ 立柜式空调,长虹,变频,长虹（CHANGHONG） 3匹P圆柱柜式变频冷暖空调智能静音KFR-72LW/Q1N,
长虹（CHANGHONG） 冷暖变频 一级能效 智能静音空调 小蛮腰圆柱 Q2C系列 大2匹  KFR-51LW/Q2C,长虹同望专卖店,18022110425,8390.00,6990.00,0,100,0,0,0,,长虹（CHANGHONG） 长虹（CHANGHONG） 冷暖变频 一级能效 智能静音空调 小蛮腰圆柱 Q2C系列 大2匹  KFR-51LW/Q2C 18022110425 长虹同望专卖店 47.0kg 变频 圆柱式空调，高能效空调，智能空调，变频空调，静音空调，全直流变频，自动清洁 冷暖空调 2匹 一级能效 20-30㎡，30-40㎡ 立柜式空调,长虹,变频,长虹（CHANGHONG） 冷暖变频 一级能效 智能静音空调 小蛮腰圆柱 Q2C系列 大2匹  KFR-51LW/Q2C,
长虹（CHANGHONG） 正2匹 一级能效 变频冷暖 智能空调 KFR-51LW/Q1N,长虹同望专卖店,18027344125,6890.00,6890.00,0,100,0,0,0,,长虹（CHANGHONG） 长虹（CHANGHONG） 正2匹 一级能效 变频冷暖 智能空调 KFR-51LW/Q1N 18027344125 长虹同望专卖店 45.0kg 变频 圆柱式空调，高能效空调，智能空调，变频空调，静音空调，全直流变频，自动清洁 冷暖空调 2匹 一级能效 20-30㎡ 立柜式空调,长虹,变频,长虹（CHANGHONG） 正2匹 一级能效 变频冷暖 智能空调 KFR-51LW/Q1N,
志高（CHIGO） 变频圆柱柜机空调2匹冷暖静音电辅KFR-51LW/IBP88+N3A,志高依莱达专卖店,13178904827,6899.00,6599.00,9,100,9,0,0,,志高（CHIGO） 志高（CHIGO） 变频圆柱柜机空调2匹冷暖静音电辅KFR-51LW/IBP88+N3A 13178904827 志高依莱达专卖店 44.0kg 中国大陆 变频 冷暖空调 圆柱式空调 金色 2匹 三级能效 20-30㎡ 立柜式空调,志高,变频,志高（CHIGO） 变频圆柱柜机空调2匹冷暖静音电辅KFR-51LW/IBP88+N3A,
志高空调（CHIGO)天之骄子KFR-51LW/CBP50+N3A红 2匹直流变频立体送风,志高远博专卖店,11163290635,8599.00,7199.00,1,100,1,0,0,,志高（CHIGO） 志高空调（CHIGO)天之骄子KFR-51LW/CBP50+N3A红 2匹直流变频立体送风 11163290635 志高远博专卖店 52.0kg 中国大陆 KFR-51LW/CBP50+N3A红 变频 冷暖空调 变频空调 其他 2匹 三级能效 30-40㎡ 立柜式空调,志高,变频,志高空调（CHIGO)天之骄子KFR-51LW/CBP50+N3A红 2匹直流变频立体送风,
志高（CHIGO） 乐派  KFR-51LW/R58+N3 2匹立柜  冷暖双转子压缩机,志高远博专卖店,11150356192,5599.00,4199.00,7,100,7,0,0,制冷效果好 送货快,志高（CHIGO） 志高（CHIGO） 乐派  KFR-51LW/R58+N3 2匹立柜  冷暖双转子压缩机 11150356192 志高远博专卖店 51.0kg 中国大陆 KFR-51LW/R58+N3 定频 冷暖空调 静音空调，自动清洁 白色 2匹 三级能效 30-40㎡ 立柜式空调,志高,定频,志高（CHIGO） 乐派  KFR-51LW/R58+N3 2匹立柜  冷暖双转子压缩机,
志高空调（CHIGO） KFR-51LW/IBP90+N1A+Y2 直流变频一级 2匹圆柱,志高远博专卖店,11184178947,10599.00,8599.00,2,100,2,0,0,,志高（CHIGO） 志高空调（CHIGO） KFR-51LW/IBP90+N1A+Y2 直流变频一级 2匹圆柱 11184178947 志高远博专卖店 10.0kg 中国大陆 KFR-51LW/IBP90+N1A+Y2 变频 冷暖空调 圆柱式空调，高能效空调，变频空调，静音空调 其他 2匹 一级能效 20-30㎡ 立柜式空调,志高,变频,志高空调（CHIGO） KFR-51LW/IBP90+N1A+Y2 直流变频一级 2匹圆柱,
志高（CHIGO） 2P柜机定频冷暖电辅加热空调节能静音KFR-51LW/P88+N3,志高依莱达专卖店,19028170788,5499.00,5199.00,0,100,0,0,0,,志高（CHIGO） 志高（CHIGO） 2P柜机定频冷暖电辅加热空调节能静音KFR-51LW/P88+N3 19028170788 志高依莱达专卖店 40.0kg 中国大陆 定频 冷暖空调 圆柱式空调，静音空调，自动清洁 白色 2匹 三级能效 20-30㎡ 立柜式空调,志高,定频,志高（CHIGO） 2P柜机定频冷暖电辅加热空调节能静音KFR-51LW/P88+N3,
志高（CHIGO） KFR-72LW/IBP88+N2A+Y2  3匹变频冷暖空调柜机,志高志联鑫专卖店,13378782559,7599.00,6999.00,2,100,2,0,0,,志高（CHIGO） 志高（CHIGO） KFR-72LW/IBP88+N2A+Y2  3匹变频冷暖空调柜机 13378782559 志高志联鑫专卖店 40.0kg 变频 冷暖空调 白色 3匹 二级能效 30-40㎡ 立柜式空调,志高,变频,志高（CHIGO） KFR-72LW/IBP88+N2A+Y2  3匹变频冷暖空调柜机,
志高（CHIGO） KFR-51L/IBP90+N1A+Y2一级能效 变频 圆柱柜式空调 2匹,志高志联鑫专卖店,16979514986,10590.00,8999.00,0,100,0,0,0,,志高（CHIGO） 志高（CHIGO） KFR-51L/IBP90+N1A+Y2一级能效 变频 圆柱柜式空调 2匹 16979514986 志高志联鑫专卖店 51.0kg 变频 冷暖空调 圆柱式空调，高能效空调，智能空调，变频空调，静音空调，自动清洁 其他 2匹 一级能效 20-30㎡ 立柜式空调,志高,变频,志高（CHIGO） KFR-51L/IBP90+N1A+Y2一级能效 变频 圆柱柜式空调 2匹,
志高（CHIGO） 圆柱柜机智能空调一级能效2匹变频KFR-51LW/IBP90+N1A 2匹(KFR-51LW/IBP90+N1A+Y2),志高依莱达专卖店,11333019725,9990.00,9199.00,0,100,0,0,0,一般 制冷速度快,志高（CHIGO） 志高（CHIGO） 圆柱柜机智能空调一级能效2匹变频KFR-51LW/IBP90+N1A 2匹(KFR-51LW/IBP90+N1A+Y2) 11333019725 志高依莱达专卖店 44.0kg 中国大陆 变频 冷暖空调 圆柱式空调，高能效空调，智能空调，变频空调，静音空调，全直流变频，自动清洁 其他 2匹 一级能效 20-30㎡ 立柜式空调,志高,变频,志高（CHIGO） 圆柱柜机智能空调一级能效2匹变频KFR-51LW/IBP90+N1A 2匹(KFR-51LW/IBP90+N1A+Y2),
志高（CHIGO） KFR-72L/R88+N3 立柜式3匹定频冷暖圆柱空调柜机 白色,志高志联鑫专卖店,11300507070,6699.00,5999.00,5,100,5,0,0,机器漂亮 安装速度 送货快,志高（CHIGO） 志高（CHIGO） KFR-72L/R88+N3 立柜式3匹定频冷暖圆柱空调柜机 白色 11300507070 志高志联鑫专卖店 55.0kg 中国大陆 定频 冷暖空调 智能空调 白色 3匹 三级能效 30-40㎡ 立柜式空调,志高,定频,志高（CHIGO） KFR-72L/R88+N3 立柜式3匹定频冷暖圆柱空调柜机 白色,
志高（CHIGO） 柜机空调2匹定频定速冷暖节能除湿KFR-51LW/N58+N3 KFR-51LW/N58+N3,志高依莱达专卖店,11332778673,4599.00,4299.00,10,91,10,0,1,送货快 外机噪音小 制冷速度快 空调质量好 服务很好 制热效果好 声音小,志高（CHIGO） 志高（CHIGO） 柜机空调2匹定频定速冷暖节能除湿KFR-51LW/N58+N3 KFR-51LW/N58+N3 11332778673 志高依莱达专卖店 33.0kg 中国大陆 定频 冷暖空调 静音空调，自动清洁 白色 2匹 三级能效 20-30㎡ 立柜式空调,志高,定频,志高（CHIGO） 柜机空调2匹定频定速冷暖节能除湿KFR-51LW/N58+N3 KFR-51LW/N58+N3,
志高（CHIGO)  KFR-50LW/BBP58+N3A 2匹直流变频冷暖柜机,志高远博专卖店,11163103418,5899.00,5599.00,9,100,9,0,0,空调质量好 变频省电 一般 服务很好 机器漂亮,志高（CHIGO） 志高（CHIGO)  KFR-50LW/BBP58+N3A 2匹直流变频冷暖柜机   11163103418 志高远博专卖店 38.0kg 中国大陆  KFR-50LW/BBP58+N3A 变频 冷暖空调 变频空调 白色 2匹 三级能效 20-30㎡ 立柜式空调,志高,变频,志高（CHIGO)  KFR-50LW/BBP58+N3A 2匹直流变频冷暖柜机,
志高（CHIGO） 立柜式3匹定频节能静音冷暖电辅加热空调KFR-72LW/P88+N3 3匹定频,志高依莱达专卖店,12095952318,6599.00,6499.00,3,100,3,0,0,,志高（CHIGO） 志高（CHIGO） 立柜式3匹定频节能静音冷暖电辅加热空调KFR-72LW/P88+N3 3匹定频 12095952318 志高依莱达专卖店 40.0kg 中国大陆 定频 冷暖空调 圆柱式空调，静音空调，自动清洁 白色 3匹 三级能效 30-40㎡ 立柜式空调,志高,定频,志高（CHIGO） 立柜式3匹定频节能静音冷暖电辅加热空调KFR-72LW/P88+N3 3匹定频,
志高（CHIGO） 乐派系列 KFR-72LW/H58+N3 3匹立柜  冷暖双转子压缩机,志高远博专卖店,11150456726,6899.00,5699.00,1,100,1,0,0,,志高（CHIGO） 志高（CHIGO） 乐派系列 KFR-72LW/H58+N3 3匹立柜  冷暖双转子压缩机 11150456726 志高远博专卖店 42.0kg 中国大陆  KFR-72LW/H58+N3 定频 冷暖空调 静音空调，自动清洁 白色 3匹 三级能效 30-40㎡ 立柜式空调,志高,定频,志高（CHIGO） 乐派系列 KFR-72LW/H58+N3 3匹立柜  冷暖双转子压缩机,
